id,Номер Рейса,Тип Рейса,Время отправки,Время прибытия,id_Air_Marshal,id_Plane
42,729-07-9849,Грузовой,15:57,13:52,42,42
43,492-45-7264,Грузовой,3:10,7:04,43,43
44,286-38-0454,Грузовой,10:54,19:54,44,44
45,579-18-1992,Грузовой,10:04,7:54,45,45
46,155-61-9160,Пассажирский,3:51,15:49,46,46
47,870-97-4763,Пассажирский,16:20,0:04,47,47
48,103-03-2518,Пассажирский,17:00,23:15,48,48
49,687-03-8214,Пассажирский,11:09,23:48,49,49
50,394-06-1249,Пассажирский,20:07,3:21,50,50
51,229-53-0056,Грузовой,17:38,19:24,51,51
52,508-17-9197,Грузовой,21:38,19:40,52,52
53,810-55-4336,Пассажирский,11:38,11:05,53,53
54,129-47-7097,Грузовой,12:28,9:39,54,54
55,343-16-8020,Пассажирский,23:42,10:35,55,55
56,164-89-7558,Пассажирский,10:02,11:11,56,56
57,516-57-8413,Грузовой,3:17,15:49,57,57
58,674-72-4250,Грузовой,4:46,3:16,58,58
59,847-32-9263,Пассажирский,19:08,19:49,59,59
60,692-60-1581,Грузовой,3:47,7:45,60,60
61,790-15-1396,Грузовой,0:15,1:45,61,61
62,692-72-6679,Пассажирский,18:08,2:54,62,62
63,687-64-9516,Пассажирский,21:03,17:14,63,63
64,810-62-5193,Грузовой,22:16,16:28,64,64
65,610-64-8552,Грузовой,10:54,18:57,65,65
66,126-63-8420,Пассажирский,10:20,12:58,66,66
67,436-51-7472,Пассажирский,3:07,12:55,67,67
68,870-28-0237,Пассажирский,3:31,0:25,68,68
69,689-82-9581,Грузовой,5:49,2:26,69,69
70,357-53-4849,Пассажирский,12:13,5:51,70,70
71,359-58-1350,Грузовой,8:23,22:52,71,71
72,262-94-6839,Грузовой,6:41,22:28,72,72
73,624-62-1892,Пассажирский,5:33,5:21,73,73
74,813-84-7721,Пассажирский,17:01,18:21,74,74
75,656-28-0609,Пассажирский,8:45,2:10,75,75
76,442-64-1613,Пассажирский,7:49,20:56,76,76
77,222-94-6379,Грузовой,15:43,8:02,77,77
78,320-86-2352,Грузовой,7:00,2:10,78,78
79,793-24-3644,Грузовой,4:17,6:49,79,79
80,838-90-1674,Пассажирский,13:16,5:45,80,80
81,307-79-3451,Пассажирский,10:45,3:06,81,81
82,805-11-6788,Грузовой,15:00,23:51,82,82
83,601-40-2851,Грузовой,5:08,2:00,83,83
84,477-51-5909,Пассажирский,18:20,21:41,84,84
85,127-71-0653,Грузовой,22:32,1:42,85,85
86,367-25-1422,Пассажирский,23:00,22:16,86,86
87,834-22-4467,Грузовой,11:11,7:32,87,87
88,892-87-8142,Пассажирский,5:18,22:32,88,88
89,466-77-4459,Грузовой,11:10,10:29,89,89
90,536-45-0015,Грузовой,7:46,12:17,90,90
91,561-49-6838,Грузовой,15:15,16:54,91,91
92,675-41-9583,Грузовой,23:45,10:45,92,92
93,154-96-6072,Пассажирский,16:54,1:39,93,93
94,868-09-9572,Пассажирский,23:53,15:43,94,94
95,421-82-4327,Грузовой,11:02,3:14,95,95
96,788-84-0189,Грузовой,12:30,18:38,96,96
97,422-55-3216,Грузовой,21:25,20:51,97,97
98,398-20-9042,Грузовой,4:06,23:00,98,98
99,794-89-4006,Грузовой,10:09,2:07,99,99
100,615-26-9548,Грузовой,12:28,10:05,100,100
101,301-33-8315,Грузовой,15:42,11:17,101,101
102,418-66-6287,Пассажирский,3:10,14:17,102,102
103,580-50-0426,Грузовой,0:36,14:45,103,103
104,511-77-3115,Грузовой,6:40,21:49,104,104
105,741-45-4304,Пассажирский,4:21,11:50,105,105
106,725-47-7406,Пассажирский,13:53,3:25,106,106
107,672-70-2528,Грузовой,19:20,14:21,107,107
108,248-39-0016,Грузовой,2:31,9:25,108,108
109,771-98-5281,Грузовой,3:52,10:29,109,109
110,774-89-8026,Грузовой,11:49,20:58,110,110
111,474-54-2214,Пассажирский,11:48,4:50,111,111
112,671-92-2998,Грузовой,0:35,5:59,112,112
113,515-91-6707,Грузовой,23:29,5:40,113,113
114,566-78-8852,Пассажирский,19:32,2:51,114,114
115,458-59-7117,Пассажирский,1:22,1:15,115,115
116,766-34-9060,Пассажирский,5:20,14:24,116,116
117,554-67-2516,Грузовой,17:55,19:35,117,117
118,859-53-0192,Грузовой,23:39,2:17,118,118
119,802-99-8853,Грузовой,4:48,5:07,119,119
120,317-45-7011,Пассажирский,1:07,20:22,120,120
121,201-47-2372,Пассажирский,1:39,8:49,121,121
122,231-61-2155,Грузовой,1:58,15:36,122,122
123,863-82-8208,Пассажирский,20:56,22:34,123,123
124,636-08-3698,Грузовой,1:51,10:48,124,124
125,769-02-5468,Грузовой,18:57,21:24,125,125
126,504-55-9357,Пассажирский,2:24,20:39,126,126
127,589-23-8117,Грузовой,7:02,4:42,127,127
128,574-83-9443,Грузовой,11:03,11:23,128,128
129,894-61-6713,Пассажирский,20:23,6:34,129,129
130,275-80-3190,Пассажирский,17:35,20:15,130,130
131,107-16-4067,Пассажирский,20:10,14:26,131,131
132,877-35-4903,Пассажирский,9:33,9:39,132,132
133,889-72-9811,Грузовой,14:29,19:17,133,133
134,511-81-3923,Пассажирский,5:54,10:38,134,134
135,658-56-1965,Пассажирский,21:10,2:21,135,135
136,526-26-8547,Грузовой,22:55,20:11,136,136
137,678-72-1240,Грузовой,19:14,3:45,137,137
138,760-03-9559,Грузовой,12:40,5:07,138,138
139,834-21-1351,Грузовой,4:12,6:11,139,139
140,868-37-6484,Грузовой,5:15,2:40,140,140
141,200-74-2725,Грузовой,0:43,12:35,141,141
142,170-51-3180,Пассажирский,19:29,2:44,142,142
143,130-34-9270,Грузовой,17:57,9:40,143,143
144,427-13-0168,Грузовой,15:47,16:16,144,144
145,293-58-5631,Пассажирский,17:07,6:26,145,145
146,465-05-7577,Грузовой,16:31,4:25,146,146
147,480-78-7406,Пассажирский,16:01,16:25,147,147
148,879-32-2374,Пассажирский,15:27,6:49,148,148
149,821-16-7396,Пассажирский,7:12,7:24,149,149
150,396-46-8092,Грузовой,2:55,17:46,150,150
151,850-49-5203,Пассажирский,19:07,1:49,151,151
152,548-30-8109,Пассажирский,19:28,5:03,152,152
153,719-92-2297,Грузовой,9:59,3:06,153,153
154,448-21-2444,Грузовой,11:01,17:37,154,154
155,656-39-1322,Грузовой,9:23,15:35,155,155
156,342-98-4249,Грузовой,11:02,4:49,156,156
157,851-48-3470,Грузовой,21:53,15:06,157,157
158,553-26-2379,Грузовой,17:53,11:15,158,158
159,800-05-7015,Грузовой,22:45,21:32,159,159
160,355-09-9490,Грузовой,19:03,19:19,160,160
161,100-13-8487,Пассажирский,17:08,23:40,161,161
162,552-57-4570,Грузовой,22:44,15:35,162,162
163,106-83-3172,Грузовой,10:26,2:35,163,163
164,778-27-1655,Грузовой,9:10,3:07,164,164
165,850-60-5050,Пассажирский,16:34,0:45,165,165
166,162-77-8218,Пассажирский,22:39,18:27,166,166
167,369-30-4336,Пассажирский,10:56,19:46,167,167
168,678-89-5829,Пассажирский,6:13,19:37,168,168
169,191-13-9265,Пассажирский,13:18,18:58,169,169
170,177-74-4094,Пассажирский,7:38,15:11,170,170
171,218-34-1618,Грузовой,18:49,17:07,171,171
172,444-47-9961,Пассажирский,19:12,0:44,172,172
173,849-05-0410,Грузовой,15:14,16:06,173,173
174,527-68-0177,Пассажирский,10:51,19:57,174,174
175,123-89-1661,Грузовой,11:41,20:34,175,175
176,531-92-5477,Пассажирский,2:38,8:23,176,176
177,579-95-0024,Пассажирский,10:14,18:45,177,177
178,212-71-0836,Грузовой,23:43,19:51,178,178
179,147-61-4513,Грузовой,23:17,12:29,179,179
180,445-37-0624,Пассажирский,11:27,12:13,180,180
181,851-27-2492,Пассажирский,10:46,11:58,181,181
182,245-54-2434,Пассажирский,7:03,11:34,182,182
183,417-69-0764,Грузовой,2:07,7:13,183,183
184,421-79-3811,Пассажирский,3:08,5:03,184,184
185,856-33-9784,Грузовой,10:47,16:10,185,185
186,348-37-7008,Грузовой,23:15,16:57,186,186
187,541-85-5461,Пассажирский,18:36,23:29,187,187
188,890-81-3123,Пассажирский,12:41,11:18,188,188
189,766-73-5458,Пассажирский,15:35,21:29,189,189
190,332-78-6553,Пассажирский,3:11,13:55,190,190
191,453-08-4058,Грузовой,0:40,4:25,191,191
192,623-68-1484,Пассажирский,19:04,3:46,192,192
193,651-74-6239,Грузовой,9:52,7:15,193,193
194,137-18-0951,Грузовой,21:40,18:39,194,194
195,566-98-8480,Грузовой,16:48,21:27,195,195
196,663-33-4758,Пассажирский,12:11,4:10,196,196
197,468-42-8627,Грузовой,5:57,23:07,197,197
198,677-85-2984,Грузовой,15:34,15:00,198,198
199,205-85-6263,Пассажирский,12:24,21:12,199,199
200,262-43-6727,Грузовой,21:07,6:24,200,200
201,209-92-7283,Грузовой,7:34,1:00,201,201
202,660-25-2241,Пассажирский,10:15,5:49,202,202
203,738-21-0290,Грузовой,7:40,7:52,203,203
204,890-14-6715,Грузовой,2:57,12:10,204,204
205,657-55-1217,Грузовой,11:51,22:23,205,205
206,620-27-9100,Грузовой,21:06,15:15,206,206
207,716-12-6797,Грузовой,8:41,18:18,207,207
208,325-69-1468,Грузовой,14:18,8:48,208,208
209,698-64-7684,Пассажирский,9:22,8:26,209,209
210,552-92-2034,Грузовой,5:09,19:58,210,210
211,617-93-1824,Грузовой,11:24,20:38,211,211
212,358-80-7139,Грузовой,3:04,22:13,212,212
213,233-59-1238,Грузовой,18:40,7:36,213,213
214,442-88-2685,Пассажирский,9:53,16:35,214,214
215,142-29-1525,Пассажирский,19:00,2:25,215,215
216,739-72-6180,Грузовой,16:52,4:16,216,216
217,399-35-3754,Пассажирский,13:06,9:09,217,217
218,280-21-8547,Пассажирский,14:19,17:36,218,218
219,794-30-1261,Грузовой,9:12,16:29,219,219
220,711-65-6140,Пассажирский,21:50,15:36,220,220
221,411-81-2185,Пассажирский,21:23,5:04,221,221
222,398-10-2772,Пассажирский,7:46,5:57,222,222
223,309-57-9535,Грузовой,5:18,13:12,223,223
224,307-21-7481,Пассажирский,23:04,22:53,224,224
225,731-67-1618,Грузовой,18:15,8:09,225,225
226,732-63-1155,Пассажирский,6:15,3:55,226,226
227,646-16-5866,Пассажирский,22:30,7:34,227,227
228,706-29-4099,Грузовой,22:26,2:33,228,228
229,117-99-3948,Пассажирский,19:29,7:40,229,229
230,583-85-0624,Грузовой,11:24,22:21,230,230
231,392-82-6614,Пассажирский,22:02,19:16,231,231
232,658-74-4019,Грузовой,22:23,13:55,232,232
233,832-62-2416,Пассажирский,9:44,12:55,233,233
234,726-33-4825,Пассажирский,5:45,9:57,234,234
235,472-29-9231,Пассажирский,23:22,17:01,235,235
236,365-85-2269,Пассажирский,3:20,2:33,236,236
237,346-20-8689,Грузовой,14:02,0:11,237,237
238,297-87-5215,Грузовой,13:15,3:48,238,238
239,606-83-4767,Пассажирский,18:45,20:50,239,239
240,422-15-1668,Грузовой,8:13,19:53,240,240
241,102-03-0055,Пассажирский,13:07,9:54,241,241
242,834-07-4588,Грузовой,14:37,1:23,242,242
243,291-47-5277,Пассажирский,21:42,20:45,243,243
244,134-46-8604,Пассажирский,4:35,16:17,244,244
245,478-21-1233,Пассажирский,11:43,11:50,245,245
246,854-36-8251,Грузовой,10:39,12:31,246,246
247,676-75-4040,Грузовой,19:16,6:56,247,247
248,693-15-5477,Пассажирский,1:49,16:20,248,248
249,549-89-6205,Грузовой,14:10,13:49,249,249
250,425-27-8921,Грузовой,22:35,16:08,250,250
251,159-78-6313,Грузовой,17:52,17:29,251,251
252,255-49-8703,Пассажирский,7:40,11:37,252,252
253,733-88-1929,Грузовой,22:56,8:15,253,253
254,413-68-6037,Пассажирский,17:14,23:26,254,254
255,390-95-7843,Грузовой,2:25,16:17,255,255
256,440-75-3354,Пассажирский,12:13,2:34,256,256
257,856-95-8962,Грузовой,1:32,12:01,257,257
258,498-73-2498,Пассажирский,14:37,13:22,258,258
259,383-60-8280,Пассажирский,22:25,0:01,259,259
260,709-76-0481,Грузовой,18:51,1:59,260,260
261,645-18-7085,Пассажирский,7:24,23:35,261,261
262,591-53-7183,Пассажирский,9:10,0:53,262,262
263,427-70-4380,Пассажирский,14:19,7:16,263,263
264,731-58-3391,Грузовой,8:35,0:57,264,264
265,815-55-8386,Грузовой,16:35,5:35,265,265
266,506-59-3267,Пассажирский,4:39,4:42,266,266
267,746-72-2328,Грузовой,3:54,10:46,267,267
268,483-50-4849,Пассажирский,2:39,21:13,268,268
269,387-51-8963,Пассажирский,12:09,16:37,269,269
270,605-43-7033,Пассажирский,14:30,4:46,270,270
271,601-68-5870,Пассажирский,1:51,5:06,271,271
272,443-67-7407,Пассажирский,18:26,8:59,272,272
273,637-89-9354,Пассажирский,6:24,3:16,273,273
274,709-07-3137,Пассажирский,8:58,23:13,274,274
275,694-71-9489,Пассажирский,23:15,21:19,275,275
276,648-46-9263,Грузовой,20:34,8:58,276,276
277,609-49-9485,Пассажирский,4:00,13:26,277,277
278,421-67-8445,Пассажирский,23:32,19:57,278,278
279,577-34-8932,Грузовой,3:55,12:59,279,279
280,421-57-9945,Пассажирский,1:33,5:09,280,280
281,591-94-8580,Грузовой,12:28,5:59,281,281
282,139-07-8095,Пассажирский,22:23,13:02,282,282
283,724-41-8278,Грузовой,20:39,22:12,283,283
284,306-57-8305,Грузовой,13:10,5:02,284,284
285,846-61-7841,Грузовой,22:46,3:23,285,285
286,868-84-6099,Грузовой,8:24,15:51,286,286
287,578-90-4855,Пассажирский,2:26,20:50,287,287
288,756-97-3300,Пассажирский,11:59,20:07,288,288
289,730-41-2828,Грузовой,1:55,22:53,289,289
290,543-39-5611,Пассажирский,19:48,12:00,290,290
291,518-61-4093,Грузовой,9:23,6:22,291,291
292,123-26-7961,Грузовой,7:23,12:26,292,292
293,612-54-7149,Грузовой,16:52,10:03,293,293
294,436-08-8068,Пассажирский,21:34,18:06,294,294
295,318-97-9655,Грузовой,0:14,16:02,295,295
296,372-57-8112,Пассажирский,11:45,15:52,296,296
297,464-33-8324,Грузовой,5:11,23:07,297,297
298,566-28-1272,Пассажирский,15:45,20:11,298,298
299,812-89-2622,Грузовой,23:10,20:49,299,299
300,821-79-1030,Грузовой,3:37,4:39,300,300
301,352-25-5851,Пассажирский,18:56,23:27,301,301
302,284-50-6132,Пассажирский,7:14,14:52,302,302
303,719-22-9508,Пассажирский,13:45,21:25,303,303
304,373-44-3816,Грузовой,10:58,2:21,304,304
305,201-37-7134,Грузовой,1:38,22:27,305,305
306,447-25-9798,Грузовой,4:06,0:59,306,306
307,373-92-6225,Пассажирский,6:57,13:29,307,307
308,787-27-4740,Пассажирский,18:34,4:29,308,308
309,442-56-1544,Пассажирский,21:46,15:35,309,309
310,825-77-4713,Грузовой,14:02,1:16,310,310
311,732-88-9705,Пассажирский,18:37,0:17,311,311
312,648-56-9869,Пассажирский,18:08,18:10,312,312
313,558-46-3623,Грузовой,1:54,3:26,313,313
314,759-23-2164,Грузовой,0:25,2:53,314,314
315,112-96-1057,Грузовой,19:00,15:53,315,315
316,683-71-1239,Грузовой,13:05,23:08,316,316
317,140-03-2485,Грузовой,5:23,8:25,317,317
318,612-77-6443,Грузовой,4:32,14:20,318,318
319,691-03-2613,Грузовой,11:45,1:00,319,319
320,367-65-9384,Грузовой,22:56,5:13,320,320
321,286-46-6867,Грузовой,21:17,11:44,321,321
322,562-81-8223,Грузовой,14:35,0:09,322,322
323,185-14-5043,Грузовой,18:45,5:27,323,323
324,762-67-1804,Грузовой,16:32,14:27,324,324
325,232-50-0235,Грузовой,0:16,4:11,325,325
326,356-22-6098,Грузовой,8:51,15:45,326,326
327,358-45-6866,Грузовой,22:49,22:10,327,327
328,385-31-1619,Пассажирский,9:39,1:27,328,328
329,338-07-5313,Грузовой,3:41,3:08,329,329
330,485-63-8109,Грузовой,11:52,20:40,330,330
331,155-11-4199,Пассажирский,16:14,13:32,331,331
332,450-71-2292,Грузовой,14:57,9:52,332,332
333,212-42-2746,Пассажирский,17:34,1:02,333,333
334,327-31-0925,Пассажирский,13:02,18:29,334,334
335,153-26-3003,Пассажирский,10:34,0:57,335,335
336,686-43-9069,Грузовой,10:24,9:32,336,336
337,473-64-0246,Пассажирский,14:17,17:01,337,337
338,834-79-5322,Пассажирский,9:00,14:27,338,338
339,655-01-9962,Пассажирский,23:39,17:44,339,339
340,286-37-8069,Грузовой,19:15,20:14,340,340
341,783-61-2405,Пассажирский,9:51,1:45,341,341
342,272-95-9901,Пассажирский,2:25,5:12,342,342
343,865-88-6376,Грузовой,15:37,10:41,343,343
344,800-86-9656,Грузовой,18:18,16:42,344,344
345,735-37-6997,Грузовой,21:10,20:00,345,345
346,435-28-0045,Пассажирский,1:57,16:47,346,346
347,144-20-9087,Грузовой,7:05,16:24,347,347
348,670-06-1945,Пассажирский,4:46,13:51,348,348
349,205-89-9888,Пассажирский,8:34,15:29,349,349
350,757-78-3756,Пассажирский,5:22,1:34,350,350
351,436-85-9021,Пассажирский,0:54,22:01,351,351
352,120-58-4224,Грузовой,3:54,13:44,352,352
353,739-61-3076,Грузовой,11:23,18:43,353,353
354,651-44-7210,Грузовой,14:48,23:08,354,354
355,807-21-0557,Грузовой,8:27,10:53,355,355
356,801-99-1929,Грузовой,11:26,15:23,356,356
357,705-57-9433,Грузовой,14:05,15:43,357,357
358,597-62-6129,Пассажирский,19:51,11:28,358,358
359,520-36-9138,Грузовой,8:28,10:29,359,359
360,796-33-6160,Грузовой,6:56,20:42,360,360
361,891-47-5695,Грузовой,19:52,13:44,361,361
362,448-18-4651,Пассажирский,19:18,13:52,362,362
363,740-81-3137,Грузовой,11:07,6:59,363,363
364,308-32-8907,Грузовой,21:08,11:04,364,364
365,796-38-7679,Пассажирский,21:41,18:57,365,365
366,319-53-3912,Пассажирский,9:18,6:23,366,366
367,237-15-9685,Пассажирский,6:05,6:40,367,367
368,320-95-3550,Грузовой,12:27,15:03,368,368
369,132-89-5814,Пассажирский,5:47,10:33,369,369
370,275-39-3488,Грузовой,9:46,9:25,370,370
371,367-73-2480,Грузовой,3:15,19:37,371,371
372,397-27-9764,Грузовой,8:17,12:10,372,372
373,853-27-8373,Пассажирский,5:07,8:56,373,373
374,670-94-8086,Пассажирский,13:50,12:56,374,374
375,639-63-3486,Пассажирский,14:06,9:21,375,375
376,273-16-7553,Грузовой,14:43,2:34,376,376
377,658-59-7016,Пассажирский,21:43,23:13,377,377
378,746-86-0705,Пассажирский,20:43,16:32,378,378
379,434-03-1845,Грузовой,1:42,16:22,379,379
380,710-71-4860,Пассажирский,14:35,7:20,380,380
381,705-19-9255,Пассажирский,22:42,23:44,381,381
382,405-58-3305,Грузовой,6:00,22:11,382,382
383,226-85-8038,Пассажирский,8:39,2:53,383,383
384,133-90-8549,Грузовой,16:31,18:28,384,384
385,744-49-5003,Пассажирский,17:26,8:21,385,385
386,410-68-0718,Пассажирский,6:17,4:03,386,386
387,862-20-2256,Пассажирский,5:29,3:21,387,387
388,336-81-9070,Грузовой,9:33,1:54,388,388
389,883-37-4726,Пассажирский,4:47,6:36,389,389
390,549-82-1939,Пассажирский,8:15,21:39,390,390
391,452-64-2255,Пассажирский,6:42,13:32,391,391
392,680-94-0606,Пассажирский,19:23,15:05,392,392
393,577-53-2003,Пассажирский,21:38,7:34,393,393
394,425-90-5685,Грузовой,5:50,22:06,394,394
395,634-79-8846,Пассажирский,17:04,19:37,395,395
396,646-32-0063,Пассажирский,23:29,23:11,396,396
397,459-73-2780,Пассажирский,13:20,18:09,397,397
398,611-82-9593,Грузовой,1:51,22:19,398,398
399,320-68-6079,Грузовой,23:13,1:22,399,399
400,185-54-8331,Пассажирский,23:33,11:23,400,400
401,481-19-4492,Пассажирский,20:59,23:41,401,401
402,744-66-9481,Грузовой,17:53,15:50,402,402
403,690-39-0325,Грузовой,6:43,17:37,403,403
404,447-15-8929,Пассажирский,22:31,16:31,404,404
405,362-91-4504,Грузовой,15:39,8:48,405,405
406,739-32-3775,Пассажирский,9:54,23:01,406,406
407,741-93-7189,Грузовой,11:11,8:33,407,407
408,654-51-5497,Пассажирский,19:14,4:42,408,408
409,211-32-0197,Пассажирский,13:38,3:03,409,409
410,442-66-6591,Пассажирский,18:23,21:23,410,410
411,444-93-2895,Пассажирский,17:26,3:06,411,411
412,457-92-3602,Грузовой,20:09,0:13,412,412
413,407-88-8713,Грузовой,3:01,6:30,413,413
414,306-07-1619,Грузовой,0:15,8:25,414,414
415,521-62-7017,Грузовой,6:14,6:00,415,415
416,711-92-6608,Грузовой,2:45,9:41,416,416
417,627-63-6585,Пассажирский,16:01,12:01,417,417
418,748-41-5555,Грузовой,23:43,12:44,418,418
419,738-38-7560,Грузовой,2:45,20:32,419,419
420,569-75-0692,Грузовой,6:15,6:50,420,420
421,164-28-3003,Пассажирский,20:29,3:56,421,421
422,623-81-8882,Пассажирский,13:41,12:08,422,422
423,834-97-2541,Пассажирский,18:47,12:22,423,423
424,311-41-1773,Грузовой,13:10,0:57,424,424
425,584-39-8013,Грузовой,22:14,20:43,425,425
426,298-16-6368,Грузовой,11:33,20:51,426,426
427,107-86-0085,Грузовой,20:14,11:51,427,427
428,117-19-9898,Пассажирский,15:41,19:24,428,428
429,721-91-8595,Грузовой,4:00,17:09,429,429
430,320-62-5766,Пассажирский,4:34,21:55,430,430
431,308-32-7996,Пассажирский,20:04,16:45,431,431
432,585-10-9329,Пассажирский,0:47,19:38,432,432
433,892-72-4370,Грузовой,23:24,4:45,433,433
434,672-18-1187,Грузовой,13:41,20:03,434,434
435,376-58-3654,Грузовой,8:57,15:07,435,435
436,110-29-9321,Пассажирский,8:37,18:34,436,436
437,132-21-8162,Грузовой,14:53,10:37,437,437
438,863-85-1695,Пассажирский,2:09,21:39,438,438
439,553-35-9606,Пассажирский,20:38,6:03,439,439
440,602-81-5854,Пассажирский,15:08,17:08,440,440
441,466-99-3747,Пассажирский,10:02,2:21,441,441
442,694-52-2767,Грузовой,19:07,2:28,442,442
443,546-04-2374,Грузовой,18:30,7:39,443,443
444,579-60-1611,Грузовой,4:33,0:12,444,444
445,624-40-6729,Пассажирский,18:13,23:04,445,445
446,619-80-1952,Грузовой,6:16,18:45,446,446
447,756-48-2773,Пассажирский,4:34,10:16,447,447
448,707-88-8913,Пассажирский,15:14,17:48,448,448
449,604-19-1396,Пассажирский,9:48,0:05,449,449
450,161-23-2076,Грузовой,8:52,18:26,450,450
451,771-25-9768,Грузовой,11:03,21:31,451,451
452,721-59-7899,Пассажирский,19:21,13:33,452,452
453,696-68-3997,Пассажирский,17:49,13:52,453,453
454,798-71-5568,Грузовой,5:38,3:40,454,454
455,413-01-9929,Пассажирский,16:07,10:57,455,455
456,122-07-7193,Грузовой,4:58,17:54,456,456
457,323-02-5268,Грузовой,0:21,15:40,457,457
458,563-40-9505,Грузовой,8:43,8:36,458,458
459,847-53-2434,Грузовой,3:30,18:44,459,459
460,853-76-1965,Грузовой,12:52,18:01,460,460
461,741-05-2837,Пассажирский,12:57,15:43,461,461
462,356-38-6129,Пассажирский,3:23,23:14,462,462
463,502-61-6349,Пассажирский,11:58,4:13,463,463
464,823-09-2746,Грузовой,16:14,16:50,464,464
465,887-90-3578,Пассажирский,3:54,5:58,465,465
466,577-19-3638,Пассажирский,14:47,8:51,466,466
467,488-26-2673,Пассажирский,20:19,3:42,467,467
468,653-17-9163,Грузовой,19:43,5:34,468,468
469,586-64-1712,Грузовой,18:12,9:45,469,469
470,171-43-6744,Грузовой,17:35,4:20,470,470
471,761-89-4653,Грузовой,17:44,18:10,471,471
472,302-76-8636,Грузовой,1:47,20:26,472,472
473,347-31-9638,Пассажирский,20:44,0:43,473,473
474,773-40-5698,Грузовой,22:31,23:22,474,474
475,413-31-8061,Грузовой,14:37,12:55,475,475
476,830-05-5388,Грузовой,9:43,17:35,476,476
477,819-43-8775,Грузовой,16:49,10:44,477,477
478,239-60-1870,Пассажирский,19:38,11:32,478,478
479,387-02-4782,Грузовой,23:02,1:44,479,479
480,562-75-9304,Грузовой,11:49,14:39,480,480
481,184-10-4803,Грузовой,14:55,15:38,481,481
482,178-68-7049,Грузовой,23:33,4:43,482,482
483,751-67-6755,Пассажирский,2:19,4:54,483,483
484,472-09-9869,Грузовой,19:50,23:58,484,484
485,612-24-3429,Грузовой,20:01,8:15,485,485
486,868-03-1236,Грузовой,14:33,9:33,486,486
487,243-84-9180,Грузовой,21:55,16:41,487,487
488,315-10-8186,Пассажирский,5:02,18:45,488,488
489,677-13-0616,Пассажирский,10:42,11:02,489,489
490,128-17-8384,Пассажирский,2:57,0:48,490,490
491,344-57-0326,Пассажирский,0:16,0:06,491,491
492,662-06-9054,Пассажирский,15:56,16:36,492,492
493,161-79-3386,Грузовой,4:00,19:58,493,493
494,307-60-0354,Пассажирский,17:07,18:40,494,494
495,431-17-7212,Пассажирский,3:27,20:35,495,495
496,877-45-8203,Пассажирский,5:41,15:01,496,496
497,732-15-9711,Пассажирский,14:15,16:10,497,497
498,369-65-4784,Пассажирский,18:27,1:09,498,498
499,609-86-8056,Грузовой,2:37,15:12,499,499
500,670-89-4309,Грузовой,18:02,1:57,500,500
501,414-50-5671,Пассажирский,22:42,7:43,501,501
502,751-33-8364,Грузовой,17:06,14:21,502,502
503,436-57-1479,Пассажирский,13:41,10:49,503,503
504,361-67-9890,Пассажирский,19:37,10:24,504,504
505,793-60-2249,Грузовой,14:15,13:40,505,505
506,732-36-2265,Пассажирский,5:16,1:29,506,506
