id,Номер Рейса,Что случилсоь,Наличие пострадавши,Поврежденные модули,Критично для текущего рейса?,id_Flight
27,201-03-7460,interdum venenatis turpis enim blandit mi in,0,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices,0,27
28,315-45-2480,lobortis sapien sapien non mi integer ac,0,vestibulum sed,0,28
29,712-09-1093,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,0,sed tincidunt eu felis fusce posuere felis,1,29
30,176-79-2939,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci,1,volutpat erat quisque,1,30
31,570-67-3228,lectus pellentesque eget nunc donec,0,praesent blandit nam,1,31
32,340-56-0498,leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer,1,ullamcorper purus,1,32
33,142-62-8949,in imperdiet et commodo vulputate justo in blandit ultrices enim,1,in libero ut massa volutpat,0,33
34,752-06-2493,proin at turpis a pede posuere nonummy integer non velit,0,justo eu massa donec dapibus duis at,0,34
35,455-59-2930,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,0,eget semper rutrum,0,35
36,383-94-3393,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,0,lacus purus aliquet at feugiat non,0,36
37,291-74-3188,et tempus semper est quam pharetra magna ac consequat metus sapien ut,0,morbi odio odio elementum eu interdum,1,37
38,197-64-1836,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis,0,vestibulum quam sapien varius ut blandit,0,38
39,218-41-3803,ullamcorper augue a suscipit nulla elit ac nulla,1,primis in faucibus orci luctus et ultrices,1,39
40,356-15-3104,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim,1,eu nibh quisque id justo sit amet sapien,0,40
41,770-15-0385,libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,1,gravida sem praesent id massa id nisl venenatis lacinia,0,41
42,208-27-5349,duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,1,et ultrices posuere cubilia,1,42
43,150-75-8236,neque duis bibendum morbi non quam nec dui luctus rutrum nulla tellus,0,orci luctus,0,43
44,517-71-9762,semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis,1,sapien a,0,44
45,809-81-4347,aliquam quis turpis eget elit,1,ridiculus mus etiam vel augue vestibulum rutrum,1,45
46,466-76-2146,ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam,0,porta volutpat quam pede lobortis ligula sit amet eleifend pede,0,46
47,231-77-5789,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,0,dignissim vestibulum vestibulum ante,1,47
48,137-13-5120,nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac,1,vestibulum ante ipsum primis in faucibus orci luctus,0,48
49,701-92-5172,justo lacinia eget tincidunt eget tempus vel pede,0,proin at turpis a pede,0,49
50,665-85-6888,hac habitasse platea dictumst etiam faucibus cursus urna ut,0,mi nulla ac enim,1,50
51,652-37-7035,sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae,1,dui,1,51
52,605-55-0423,mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,0,leo,0,52
53,667-45-5664,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,1,vestibulum quam sapien varius,1,53
54,488-92-1140,ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris,1,dapibus augue vel accumsan tellus,0,54
55,660-74-0896,semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla,0,duis aliquam convallis nunc,0,55
56,812-48-0403,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,0,ut erat curabitur gravida,1,56
57,306-44-5439,id ornare imperdiet sapien urna pretium nisl ut volutpat,1,in,1,57
58,631-68-9819,aliquam non mauris morbi non lectus aliquam sit amet diam in magna,1,in sapien iaculis congue vivamus metus arcu,0,58
59,129-16-2649,morbi vel lectus in quam fringilla rhoncus mauris enim,0,tellus in sagittis dui vel nisl duis,0,59
60,810-32-1651,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,0,ullamcorper,0,60
61,578-96-8575,condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,0,ut erat id mauris vulputate elementum nullam,0,61
62,379-65-5261,amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,0,vehicula condimentum curabitur in libero,1,62
63,482-30-6875,dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,0,libero nullam sit,0,63
64,678-50-6292,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,1,ultrices libero non mattis pulvinar nulla,1,64
65,183-97-6696,integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,1,risus praesent lectus,0,65
66,535-69-2192,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,0,in felis donec semper sapien,1,66
67,796-02-8461,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus,0,venenatis non sodales sed tincidunt eu felis fusce,0,67
68,148-15-7812,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea,0,lacus,0,68
69,738-18-4776,nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat,0,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,0,69
70,777-21-5524,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,1,mauris vulputate elementum nullam varius,1,70
71,286-55-9276,rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat,1,ultrices mattis odio donec vitae nisi nam,1,71
72,833-02-4518,sapien non mi integer ac neque duis bibendum morbi non,0,in,1,72
73,405-20-3929,magna at nunc commodo placerat,1,ac consequat metus sapien ut nunc vestibulum,1,73
74,843-26-6908,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat,1,nisl duis bibendum felis sed interdum,0,74
75,394-86-1478,maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,1,fermentum donec,1,75
76,608-33-6195,nulla sed vel enim sit amet nunc viverra dapibus,0,nullam varius nulla facilisi cras non velit nec nisi,1,76
77,338-53-3689,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,1,lacus purus aliquet at feugiat non pretium quis,0,77
78,235-45-9650,vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,0,phasellus id sapien,0,78
79,727-82-9416,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,0,dapibus nulla suscipit ligula,0,79
80,256-29-2009,elementum eu interdum eu tincidunt in,1,nullam molestie nibh in lectus pellentesque at nulla,1,80
81,491-40-8440,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,1,sem duis aliquam,0,81
82,495-59-0109,venenatis tristique fusce congue diam id ornare imperdiet sapien,0,sit amet sapien dignissim vestibulum vestibulum ante ipsum,0,82
83,187-23-4428,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,0,eu orci mauris,1,83
84,498-77-2588,platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer,1,cum sociis,1,84
85,677-94-7626,ac lobortis vel dapibus at,1,integer tincidunt ante vel ipsum praesent blandit lacinia,0,85
86,715-28-9630,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,0,sit amet cursus id turpis integer aliquet massa id,1,86
87,524-45-1167,vivamus metus arcu adipiscing molestie hendrerit at,1,ac,1,87
88,586-58-5277,cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,1,a suscipit nulla elit,1,88
89,409-05-0186,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in,1,proin risus praesent lectus vestibulum quam sapien varius,1,89
90,721-88-0054,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,0,pretium iaculis diam erat fermentum,0,90
91,652-50-2170,massa id nisl venenatis lacinia aenean sit amet justo morbi,0,amet eros suspendisse accumsan,1,91
92,404-81-3046,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit,1,ipsum dolor sit amet consectetuer adipiscing,1,92
93,618-77-1111,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi,1,consequat in,0,93
94,218-72-9605,id massa id nisl venenatis lacinia aenean sit amet,1,lacinia sapien quis libero nullam sit amet turpis elementum ligula,0,94
95,154-19-5384,nisi vulputate nonummy maecenas tincidunt lacus,1,lobortis ligula,0,95
96,819-53-3554,natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,1,est et tempus semper est quam pharetra magna ac,0,96
97,881-20-7971,bibendum felis sed interdum venenatis turpis enim blandit mi,1,malesuada in imperdiet,1,97
98,416-23-2608,nunc vestibulum ante ipsum primis in,1,consequat nulla nisl nunc,1,98
99,422-77-2830,sapien sapien non mi integer,0,volutpat erat quisque erat,0,99
100,768-31-4108,quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,0,sem fusce consequat nulla nisl nunc,0,100
101,466-85-4027,nisi at nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at,0,aliquet at feugiat non pretium quis,0,101
102,351-92-2058,morbi non lectus aliquam sit amet diam in magna bibendum imperdiet,1,ornare imperdiet,0,102
103,626-37-6505,ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl,1,vestibulum ante ipsum primis,1,103
104,419-61-6447,maecenas leo odio condimentum id luctus nec molestie sed,0,luctus ultricies eu nibh quisque id justo sit,1,104
105,394-98-9137,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,0,duis faucibus accumsan,0,105
106,897-74-9574,ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in,1,semper sapien a libero nam dui,1,106
107,511-14-9667,fermentum justo nec condimentum neque sapien placerat ante nulla,1,vulputate elementum nullam varius,0,107
108,252-12-7780,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien,1,felis fusce posuere felis sed lacus,0,108
109,615-07-9881,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam,0,habitasse,0,109
110,730-03-7865,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit,1,nisi eu orci mauris lacinia sapien quis libero,1,110
111,467-88-3752,mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus,0,tellus in,1,111
112,784-13-9428,id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia,0,sed,1,112
113,864-37-9212,dignissim vestibulum vestibulum ante ipsum,0,augue vestibulum ante ipsum,0,113
114,537-30-8662,justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est,0,nulla dapibus,0,114
115,223-38-4095,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,1,in lacus curabitur,1,115
116,741-61-5862,molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,1,mauris lacinia sapien quis libero nullam,0,116
117,403-65-1419,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum,0,aliquet at feugiat non,1,117
118,670-39-4657,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus,1,purus aliquet at feugiat non pretium quis lectus suspendisse,0,118
119,794-48-6965,quam fringilla rhoncus mauris enim leo,0,id sapien in sapien iaculis congue vivamus metus,1,119
120,602-62-9892,sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam,0,eget elit sodales scelerisque mauris sit amet eros suspendisse,0,120
121,702-20-3555,nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque,1,integer a nibh in quis justo maecenas rhoncus aliquam,0,121
122,632-88-7669,et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,1,justo maecenas rhoncus aliquam lacus morbi quis tortor,0,122
123,482-71-4468,mi sit amet lobortis sapien sapien non mi integer ac,0,id luctus nec molestie sed justo pellentesque viverra pede,1,123
124,628-17-6233,eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,0,luctus ultricies eu nibh quisque id justo sit amet,1,124
125,751-15-8705,nisi venenatis tristique fusce congue diam,1,donec pharetra magna vestibulum,1,125
126,412-68-7252,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent,1,integer pede justo lacinia,1,126
127,796-32-5647,interdum mauris non ligula pellentesque ultrices phasellus,0,interdum mauris ullamcorper purus sit amet nulla quisque arcu,1,127
128,293-10-5857,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula,1,vel sem sed sagittis nam congue risus,1,128
129,304-82-8336,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo sit amet sapien dignissim,1,a libero nam dui proin leo odio porttitor id consequat,0,129
130,609-61-7247,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat,1,quis augue luctus tincidunt,1,130
131,172-45-1373,phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,0,et ultrices posuere cubilia curae donec pharetra magna,1,131
132,681-85-9855,non velit nec nisi vulputate nonummy maecenas tincidunt lacus,1,luctus,1,132
133,577-23-6535,nisi volutpat eleifend donec ut dolor morbi vel,0,nunc proin,0,133
134,769-24-2350,tristique fusce congue diam id ornare,0,sed ante vivamus tortor duis mattis egestas metus,0,134
135,718-05-3690,imperdiet sapien urna pretium nisl ut volutpat,0,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,0,135
136,269-59-2615,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,1,ac consequat metus,0,136
137,243-39-9923,massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,1,tincidunt eget tempus,1,137
138,231-67-8954,ante vivamus tortor duis mattis,0,viverra pede ac diam cras pellentesque volutpat dui maecenas tristique,1,138
139,635-19-7229,augue vel accumsan tellus nisi eu orci,1,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur,1,139
140,129-56-6097,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,1,non pretium quis lectus suspendisse potenti in eleifend quam a,0,140
141,657-97-5883,vestibulum ante ipsum primis in,1,neque vestibulum eget vulputate ut,1,141
142,355-18-9840,nulla suspendisse potenti cras in purus eu magna vulputate luctus,1,at nulla suspendisse potenti cras in,1,142
143,328-97-6552,donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,1,felis sed interdum venenatis turpis enim blandit,0,143
144,715-68-7761,vestibulum proin eu mi nulla ac enim in,0,ante,1,144
145,447-91-8817,sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,0,tortor,0,145
146,878-85-9448,sapien in sapien iaculis congue,1,in purus eu magna,1,146
147,512-51-7940,eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo,0,praesent lectus vestibulum quam sapien varius ut blandit non,1,147
148,791-26-5939,consequat in consequat ut nulla sed accumsan felis,1,volutpat sapien arcu sed augue aliquam erat volutpat in,0,148
149,671-11-8736,malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet,1,magna at,0,149
150,637-71-3012,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,0,eu,1,150
151,569-72-6292,vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,0,interdum mauris non ligula pellentesque ultrices,1,151
152,628-06-9661,eu nibh quisque id justo sit amet sapien dignissim,1,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat,0,152
153,839-09-8969,magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis,0,vulputate luctus cum sociis natoque penatibus,0,153
154,162-72-7369,at turpis donec posuere metus vitae ipsum aliquam non mauris morbi non,0,lobortis ligula sit amet eleifend pede libero,1,154
155,816-46-6101,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere,0,nisl aenean lectus pellentesque eget nunc,0,155
156,513-36-1667,eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum,0,quisque erat eros viverra eget congue eget semper rutrum nulla,1,156
157,838-78-2114,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi,1,diam neque vestibulum eget vulputate ut ultrices vel augue,0,157
158,359-60-6639,mauris ullamcorper purus sit amet nulla quisque,0,amet,0,158
159,458-38-7168,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,0,nec dui luctus rutrum,1,159
160,682-94-6311,in eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis,0,eu,1,160
161,548-50-2740,nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,1,dis parturient montes nascetur ridiculus mus,1,161
162,769-85-7995,libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,1,vitae mattis nibh ligula nec sem duis aliquam,0,162
163,401-31-2940,odio porttitor id consequat in consequat ut nulla sed accumsan felis ut,1,at nibh in hac habitasse platea dictumst aliquam,0,163
164,219-89-3565,leo rhoncus sed vestibulum sit amet,0,aliquam augue quam,0,164
165,199-64-0032,ullamcorper purus sit amet nulla quisque arcu,1,cubilia curae nulla dapibus dolor,1,165
166,363-50-2384,dolor quis odio consequat varius integer ac leo pellentesque,1,eros viverra,1,166
167,137-79-0039,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis,0,amet consectetuer adipiscing elit proin interdum mauris non ligula,0,167
168,760-25-1353,habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque,0,morbi ut odio cras mi pede malesuada in imperdiet,1,168
169,189-08-5745,pede posuere nonummy integer non velit donec,1,ullamcorper purus sit amet nulla quisque arcu,0,169
170,166-84-5091,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla,0,tellus in sagittis dui vel nisl,0,170
171,569-98-4701,sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan,0,fermentum justo nec condimentum neque sapien placerat,1,171
172,315-04-4031,eget semper rutrum nulla nunc purus phasellus in felis donec semper,0,mauris enim leo,0,172
173,773-33-8698,et tempus semper est quam pharetra magna ac,0,proin eu mi,0,173
174,318-08-9942,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,1,molestie,0,174
175,693-12-9972,ante nulla justo aliquam quis turpis eget,0,magna vulputate luctus cum sociis natoque penatibus et,0,175
176,254-87-0346,ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,1,sodales sed tincidunt eu,0,176
177,603-44-1872,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis,0,eget congue eget semper rutrum,0,177
178,223-11-3339,libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,1,tincidunt nulla mollis molestie lorem,0,178
179,256-48-8604,cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor,1,eu felis fusce posuere felis sed lacus,0,179
180,803-39-0264,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis,0,pretium iaculis diam erat fermentum justo nec condimentum neque,1,180
181,125-67-6868,ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia,0,vestibulum ante ipsum primis in faucibus orci luctus,1,181
182,126-56-6844,quis turpis sed ante vivamus tortor,1,fusce posuere felis sed lacus morbi sem mauris laoreet,1,182
183,382-94-2217,vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,0,maecenas ut massa quis augue luctus tincidunt nulla mollis molestie,1,183
184,356-91-3590,tristique in tempus sit amet,1,pellentesque eget,0,184
185,829-53-3935,pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac,1,ligula in lacus curabitur at ipsum ac tellus,1,185
186,860-30-1006,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy,0,consequat varius integer ac leo pellentesque ultrices mattis odio donec,1,186
187,255-38-0750,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,0,sociis natoque penatibus et magnis dis parturient montes,1,187
188,312-81-7249,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna,1,dapibus nulla suscipit,1,188
189,616-12-5410,sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit,0,at nulla suspendisse potenti cras in purus eu,0,189
190,622-23-4933,volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante,1,donec dapibus duis at velit eu est congue elementum,0,190
191,637-78-4231,pulvinar lobortis est phasellus sit amet erat nulla,0,vitae,0,191
192,664-23-0312,convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis,0,nunc commodo placerat praesent blandit nam,1,192
193,237-03-9358,posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,1,dui vel nisl duis ac nibh,1,193
194,319-07-5984,nisl venenatis lacinia aenean sit amet justo,0,integer a nibh in quis justo maecenas rhoncus,0,194
195,549-18-6694,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium,0,ut nunc vestibulum ante ipsum primis in faucibus orci,1,195
196,573-36-5285,tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer,0,morbi sem mauris,0,196
197,206-84-1072,mollis molestie lorem quisque ut erat,1,justo nec condimentum neque sapien,1,197
198,195-68-5062,luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus,1,ultricies eu nibh quisque id justo,0,198
199,246-89-6032,curabitur gravida nisi at nibh in hac habitasse platea dictumst aliquam augue quam,0,ligula pellentesque,1,199
200,270-59-3743,ligula suspendisse ornare consequat lectus in est risus,1,eget semper,1,200
201,788-71-8449,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero,0,potenti in eleifend quam a odio in hac habitasse,0,201
202,895-86-5124,feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,0,pede malesuada in imperdiet et commodo,0,202
203,833-31-4855,quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,0,tincidunt in leo maecenas pulvinar lobortis est phasellus sit,0,203
204,798-03-6255,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,0,tellus in sagittis dui vel nisl,0,204
205,396-83-3880,vestibulum quam sapien varius ut blandit non interdum in ante,0,scelerisque quam turpis adipiscing lorem,1,205
206,548-63-2068,ultrices aliquet maecenas leo odio condimentum id luctus nec molestie,1,convallis morbi odio odio elementum eu interdum eu tincidunt,0,206
207,285-25-2472,cubilia curae duis faucibus accumsan odio curabitur convallis duis,1,tellus in sagittis dui,0,207
