id,Вместимость,Функционал
268,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
269,3,Nulla facilisi.
270,4,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
271,3,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
272,1,Aliquam quis turpis eget elit sodales scelerisque.
273,4,Duis at velit eu est congue elementum.
274,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
275,3,Integer tincidunt ante vel ipsum.
276,4,Suspendisse potenti. Nullam porttitor lacus at turpis.
277,1,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
278,3,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
279,2,Morbi non quam nec dui luctus rutrum.
280,5,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue."
281,5,Quisque porta volutpat erat.
282,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque."
283,2,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
284,4,Nunc rhoncus dui vel sem.
285,2,Etiam justo. Etiam pretium iaculis justo.
286,2,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.
287,2,Aenean fermentum.
288,1,Maecenas pulvinar lobortis est.
289,5,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo."
290,4,Duis bibendum. Morbi non quam nec dui luctus rutrum.
291,3,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
292,1,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.
293,5,Fusce consequat. Nulla nisl.
294,3,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
295,4,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
296,2,Ut at dolor quis odio consequat varius.
297,5,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
298,5,Pellentesque ultrices mattis odio. Donec vitae nisi.
299,4,Vivamus tortor. Duis mattis egestas metus.
300,1,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.
301,4,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl."
302,4,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
303,5,Maecenas pulvinar lobortis est.
304,2,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.
305,1,Quisque ut erat.
306,2,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
307,2,Nullam molestie nibh in lectus. Pellentesque at nulla.
308,3,Nam tristique tortor eu pede.
309,2,Nulla suscipit ligula in lacus.
310,2,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
311,5,Ut at dolor quis odio consequat varius.
312,2,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
313,2,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio."
314,3,Vivamus vestibulum sagittis sapien.
315,4,Pellentesque viverra pede ac diam.
316,5,Morbi a ipsum.
317,3,In sagittis dui vel nisl.
318,3,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat."
319,2,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo."
320,3,In hac habitasse platea dictumst.
321,5,Etiam justo. Etiam pretium iaculis justo.
322,4,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
323,2,Integer ac leo. Pellentesque ultrices mattis odio.
324,3,Etiam vel augue. Vestibulum rutrum rutrum neque.
325,3,In hac habitasse platea dictumst.
326,4,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem."
327,3,Nulla mollis molestie lorem.
328,2,Nullam molestie nibh in lectus.
329,4,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
330,3,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.
331,3,Sed sagittis.
332,4,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.
333,5,Aliquam non mauris.
334,2,Donec posuere metus vitae ipsum.
335,5,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis."
336,3,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero."
337,1,Aenean fermentum. Donec ut mauris eget massa tempor convallis.
338,2,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.
339,3,Etiam pretium iaculis justo.
340,3,Donec ut dolor.
341,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl."
342,5,Donec dapibus.
343,1,Donec quis orci eget orci vehicula condimentum.
344,2,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.
345,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
346,4,Praesent id massa id nisl venenatis lacinia.
347,3,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus."
348,3,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros."
349,1,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.
350,1,Phasellus in felis. Donec semper sapien a libero.
351,3,Maecenas pulvinar lobortis est. Phasellus sit amet erat.
352,3,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.
353,5,Donec semper sapien a libero. Nam dui.
354,1,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.
355,3,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam."
356,5,Donec posuere metus vitae ipsum.
357,1,Suspendisse accumsan tortor quis turpis. Sed ante.
358,5,Integer non velit.
359,3,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
360,1,Aenean fermentum.
361,3,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.
362,5,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede."
363,4,Pellentesque eget nunc.
364,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus."
365,3,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim."
366,5,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.
367,1,Vivamus vestibulum sagittis sapien.
368,4,Integer tincidunt ante vel ipsum.
369,4,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.
370,2,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
371,3,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus."
372,2,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.
373,1,Aliquam sit amet diam in magna bibendum imperdiet.
374,3,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.
375,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem."
376,4,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante."
377,5,Suspendisse potenti.
378,4,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula."
379,3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi."
380,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit."
381,3,Praesent blandit.
382,4,Cras pellentesque volutpat dui.
383,2,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.
384,4,Integer a nibh.
385,3,Vestibulum sed magna at nunc commodo placerat.
386,3,Morbi porttitor lorem id ligula.
387,3,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo."
388,3,Nulla tellus.
389,3,Nullam molestie nibh in lectus.
390,1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa."
391,2,Aliquam non mauris. Morbi non lectus.
392,4,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.
393,2,Duis aliquam convallis nunc.
