id,Назначение,Размер,Вес,Легальность,Содержимое,Хрупкость,id_Ticket
58,Военное,ut,47,1,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,0,58
59,Военное,purus,22,1,Pellentesque ultrices mattis odio. Donec vitae nisi.,1,59
60,Военное,id lobortis convallis,26,0,Maecenas pulvinar lobortis est.,0,60
61,Гражданское,in hac,13,0,Phasellus id sapien in sapien iaculis congue.,1,61
62,Гражданское,est donec,43,1,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0,62
63,Гражданское,at,19,1,Fusce posuere felis sed lacus.,1,63
64,Гражданское,neque,30,0,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,0,64
65,Гражданское,justo,23,1,In hac habitasse platea dictumst.,1,65
66,Военное,augue,33,1,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1,66
67,Военное,nam,29,0,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,67
68,Военное,est,21,1,Vestibulum sed magna at nunc commodo placerat.,1,68
69,Военное,in,48,0,Pellentesque viverra pede ac diam.,1,69
70,Гражданское,lobortis convallis tortor,42,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1,70
71,Военное,luctus,21,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,71
72,Гражданское,vitae nisl aenean lectus,33,0,Morbi vel lectus in quam fringilla rhoncus.,1,72
73,Военное,ante vel ipsum praesent,7,0,Vivamus vestibulum sagittis sapien.,1,73
74,Военное,ridiculus mus vivamus,31,1,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,1,74
75,Гражданское,dapibus at diam nam,29,0,Quisque ut erat. Curabitur gravida nisi at nibh.,0,75
76,Военное,sapien,48,0,Integer non velit.,0,76
77,Военное,lobortis convallis tortor risus,49,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",1,77
78,Военное,ut dolor morbi vel,50,0,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",1,78
79,Гражданское,in magna,16,1,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1,79
80,Военное,vel ipsum praesent,34,1,Vivamus vel nulla eget eros elementum pellentesque.,0,80
81,Военное,volutpat quam pede,19,0,Proin risus. Praesent lectus.,1,81
82,Военное,odio odio elementum eu,13,0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,82
83,Военное,pellentesque volutpat dui maecenas,40,0,Pellentesque eget nunc.,1,83
84,Гражданское,in,24,0,Phasellus in felis.,0,84
85,Гражданское,nulla,34,0,Etiam pretium iaculis justo.,0,85
86,Гражданское,odio curabitur convallis,29,1,Proin eu mi.,0,86
87,Военное,ac tellus,41,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,87
88,Гражданское,libero,16,0,Phasellus in felis. Donec semper sapien a libero.,1,88
89,Гражданское,id turpis,44,1,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0,89
90,Военное,nulla,28,1,In sagittis dui vel nisl.,1,90
91,Гражданское,morbi non quam nec,30,0,Morbi quis tortor id nulla ultrices aliquet.,0,91
92,Военное,convallis,45,1,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,1,92
93,Гражданское,interdum mauris non ligula,3,1,Proin risus. Praesent lectus.,0,93
94,Гражданское,ac est lacinia nisi,34,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1,94
95,Военное,fusce congue diam,25,0,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,95
96,Гражданское,cras,38,0,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0,96
97,Гражданское,placerat praesent blandit nam,22,1,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1,97
98,Гражданское,quis tortor id,45,0,Nulla suscipit ligula in lacus.,1,98
99,Военное,id turpis,7,0,Nulla tellus. In sagittis dui vel nisl.,0,99
100,Гражданское,posuere cubilia curae,21,0,Donec posuere metus vitae ipsum.,1,100
101,Военное,nulla,18,1,Morbi non quam nec dui luctus rutrum.,0,101
102,Гражданское,convallis duis,5,0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",1,102
103,Военное,proin risus praesent,6,0,Proin interdum mauris non ligula pellentesque ultrices.,1,103
104,Гражданское,rutrum neque aenean,23,1,Maecenas ut massa quis augue luctus tincidunt.,0,104
105,Гражданское,in,23,0,Morbi porttitor lorem id ligula.,0,105
106,Военное,ligula in lacus curabitur,38,0,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,1,106
107,Гражданское,in libero,16,1,Aliquam erat volutpat.,0,107
108,Военное,id nisl venenatis,4,0,Integer ac neque. Duis bibendum.,1,108
109,Военное,habitasse platea dictumst morbi,36,1,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",1,109
110,Гражданское,purus eu,39,1,Mauris lacinia sapien quis libero.,1,110
111,Гражданское,arcu,24,0,Aenean sit amet justo.,0,111
112,Гражданское,volutpat,11,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1,112
113,Военное,morbi sem,15,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",0,113
114,Военное,vitae nisi,9,1,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,1,114
115,Гражданское,sed vestibulum sit,49,0,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,0,115
116,Гражданское,vel est donec odio,50,0,Nullam molestie nibh in lectus. Pellentesque at nulla.,1,116
117,Гражданское,pede libero,2,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",0,117
118,Военное,ante vel,36,1,Morbi quis tortor id nulla ultrices aliquet.,1,118
119,Военное,praesent blandit lacinia erat,42,1,Pellentesque ultrices mattis odio. Donec vitae nisi.,1,119
120,Военное,in porttitor pede,1,1,Proin at turpis a pede posuere nonummy.,1,120
121,Военное,sit amet eleifend pede,31,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1,121
122,Военное,est,48,1,Etiam faucibus cursus urna. Ut tellus.,1,122
123,Военное,est congue,33,0,In quis justo. Maecenas rhoncus aliquam lacus.,0,123
124,Военное,praesent,49,1,Suspendisse potenti. In eleifend quam a odio.,0,124
125,Гражданское,amet eros,28,0,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1,125
126,Военное,ante nulla justo,9,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,0,126
127,Гражданское,bibendum morbi non,40,0,Vivamus vel nulla eget eros elementum pellentesque.,1,127
128,Гражданское,ac leo,6,1,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",0,128
129,Военное,vel accumsan tellus,15,0,Cras pellentesque volutpat dui.,0,129
130,Гражданское,nulla dapibus dolor,2,0,Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,0,130
131,Гражданское,convallis,1,1,Donec ut dolor.,0,131
132,Военное,viverra dapibus,42,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,0,132
133,Военное,venenatis non sodales,13,0,Nulla justo.,1,133
134,Военное,ac tellus semper interdum,42,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",0,134
135,Военное,cras,31,0,Ut tellus. Nulla ut erat id mauris vulputate elementum.,1,135
136,Гражданское,massa id lobortis,29,0,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",0,136
137,Военное,ipsum dolor sit amet,5,0,In hac habitasse platea dictumst.,0,137
138,Военное,nibh ligula,45,1,Praesent lectus.,1,138
139,Гражданское,id nisl venenatis lacinia,41,1,Nunc purus.,0,139
140,Военное,varius integer ac leo,34,0,Fusce consequat.,0,140
141,Гражданское,libero,31,1,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,0,141
142,Военное,nisl duis bibendum felis,36,1,Nullam molestie nibh in lectus. Pellentesque at nulla.,0,142
143,Военное,vel enim sit,42,0,Suspendisse potenti. Nullam porttitor lacus at turpis.,0,143
144,Военное,id lobortis convallis,1,1,Nulla ut erat id mauris vulputate elementum. Nullam varius.,0,144
145,Гражданское,magnis dis,19,0,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",1,145
146,Военное,non pretium,5,1,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,0,146
147,Военное,justo,38,1,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,0,147
148,Гражданское,purus aliquet at feugiat,39,0,Nulla mollis molestie lorem.,1,148
149,Военное,maecenas rhoncus,47,1,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,1,149
150,Гражданское,pede posuere,46,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1,150
151,Гражданское,at,34,1,Donec posuere metus vitae ipsum. Aliquam non mauris.,0,151
152,Военное,nullam varius nulla,27,0,Donec ut mauris eget massa tempor convallis.,0,152
153,Гражданское,nulla,3,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",1,153
154,Военное,bibendum imperdiet nullam orci,12,1,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1,154
155,Гражданское,eu,7,1,Phasellus in felis.,0,155
156,Гражданское,massa donec dapibus duis,35,1,Integer non velit.,1,156
157,Гражданское,in faucibus,10,1,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,1,157
158,Военное,eros,2,0,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1,158
159,Гражданское,vestibulum sed magna,38,1,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,0,159
160,Военное,eu mi nulla ac,21,0,Proin eu mi.,1,160
161,Военное,vel,7,0,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,161
162,Военное,pretium iaculis,6,0,Nunc nisl.,1,162
163,Военное,at lorem,7,0,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",1,163
164,Военное,curabitur convallis duis,20,1,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,1,164
165,Военное,sit amet cursus id,16,0,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",0,165
166,Гражданское,vel,40,0,Cras in purus eu magna vulputate luctus.,0,166
167,Гражданское,mattis pulvinar,18,1,Pellentesque at nulla.,1,167
168,Гражданское,lorem id,35,1,Nulla mollis molestie lorem.,0,168
169,Военное,pretium,38,0,In quis justo. Maecenas rhoncus aliquam lacus.,1,169
170,Гражданское,ut,8,0,Aliquam non mauris. Morbi non lectus.,1,170
171,Гражданское,sed nisl,27,0,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,0,171
172,Гражданское,luctus,22,1,Integer ac leo.,0,172
173,Военное,nisi,15,0,Fusce consequat. Nulla nisl.,0,173
174,Военное,nunc purus phasellus in,34,0,Aenean lectus.,1,174
175,Военное,integer a nibh,37,1,Suspendisse accumsan tortor quis turpis.,0,175
176,Гражданское,vel pede,35,1,Mauris sit amet eros.,0,176
177,Гражданское,proin eu mi nulla,31,0,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",1,177
178,Военное,enim sit amet nunc,43,0,Aliquam quis turpis eget elit sodales scelerisque.,0,178
179,Военное,consequat,29,1,Proin risus. Praesent lectus.,0,179
180,Военное,cursus,19,1,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,0,180
181,Гражданское,morbi vestibulum velit id,36,0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1,181
182,Гражданское,et ultrices posuere,16,1,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1,182
183,Гражданское,orci eget orci,3,0,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0,183
184,Военное,nonummy,39,0,Nulla ac enim.,1,184
185,Военное,a pede posuere,12,0,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1,185
186,Военное,nulla elit,41,0,Morbi a ipsum.,1,186
187,Военное,nam,27,0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,187
188,Военное,libero,25,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1,188
189,Гражданское,ultricies,16,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",0,189
190,Военное,nulla pede ullamcorper,11,0,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,190
191,Гражданское,felis,18,0,Ut at dolor quis odio consequat varius. Integer ac leo.,0,191
192,Гражданское,venenatis,19,1,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1,192
193,Военное,duis faucibus,1,1,Integer ac leo.,1,193
194,Военное,justo nec,45,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,194
195,Гражданское,consequat morbi a ipsum,30,1,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,1,195
196,Гражданское,natoque,27,0,Duis consequat dui nec nisi volutpat eleifend.,1,196
197,Гражданское,sed ante vivamus,12,0,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0,197
198,Военное,donec vitae,39,0,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1,198
199,Гражданское,non quam nec dui,9,1,Suspendisse accumsan tortor quis turpis. Sed ante.,0,199
200,Гражданское,lacus,34,0,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",1,200
201,Военное,ullamcorper purus sit amet,9,1,Curabitur in libero ut massa volutpat convallis.,0,201
202,Гражданское,fusce posuere,41,0,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1,202
203,Военное,quis,26,1,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",0,203
204,Военное,in hac habitasse platea,16,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,204
205,Военное,pharetra magna,13,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1,205
206,Гражданское,ultrices posuere cubilia curae,31,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1,206
207,Военное,nibh,17,1,Fusce consequat. Nulla nisl.,1,207
208,Военное,dapibus dolor,23,0,Mauris ullamcorper purus sit amet nulla.,0,208
209,Гражданское,tellus in,45,0,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1,209
210,Гражданское,lectus pellentesque eget,44,1,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,210
211,Военное,pellentesque volutpat dui maecenas,38,0,Praesent blandit.,0,211
212,Военное,nec molestie sed,4,0,Nam nulla.,1,212
213,Гражданское,eget tincidunt,42,0,Nulla nisl. Nunc nisl.,1,213
214,Гражданское,tristique est et tempus,46,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",0,214
215,Военное,nulla tellus,45,1,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,1,215
216,Гражданское,lectus,35,1,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0,216
217,Гражданское,ante ipsum primis,19,1,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,1,217
218,Гражданское,sed sagittis nam,21,0,Ut tellus. Nulla ut erat id mauris vulputate elementum.,1,218
219,Военное,justo lacinia eget tincidunt,28,1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1,219
220,Гражданское,ipsum primis in faucibus,20,1,In hac habitasse platea dictumst.,0,220
221,Гражданское,leo,29,0,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1,221
222,Военное,luctus nec molestie sed,40,1,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,222
223,Военное,sed vel,6,1,Praesent blandit. Nam nulla.,1,223
224,Гражданское,pellentesque ultrices,46,1,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,0,224
225,Военное,lectus in quam fringilla,37,0,Praesent blandit.,0,225
226,Гражданское,tristique fusce congue diam,4,0,Quisque id justo sit amet sapien dignissim vestibulum.,0,226
227,Военное,ut odio,33,0,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1,227
228,Военное,ligula in lacus curabitur,3,1,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,228
229,Военное,duis mattis egestas,16,0,Phasellus sit amet erat. Nulla tempus.,1,229
230,Военное,integer non,49,0,Nulla ut erat id mauris vulputate elementum.,0,230
231,Военное,in sagittis dui vel,26,1,In eleifend quam a odio. In hac habitasse platea dictumst.,0,231
232,Гражданское,sociis natoque penatibus,1,0,In eleifend quam a odio.,1,232
233,Военное,ac diam cras pellentesque,12,0,Nulla suscipit ligula in lacus.,0,233
234,Военное,a libero nam,27,1,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0,234
235,Гражданское,suscipit,33,1,Suspendisse potenti.,1,235
236,Гражданское,in hac habitasse platea,17,0,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,236
237,Военное,sed justo,24,0,In quis justo.,0,237
238,Военное,sapien cum,48,1,Nunc rhoncus dui vel sem. Sed sagittis.,1,238
239,Гражданское,morbi non lectus aliquam,18,0,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,239
240,Военное,arcu libero rutrum ac,35,0,In blandit ultrices enim.,0,240
241,Гражданское,accumsan felis,11,1,Proin risus.,0,241
242,Военное,curabitur in libero,11,1,Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1,242
243,Гражданское,magna vestibulum aliquet,21,1,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,1,243
244,Военное,vivamus in felis eu,44,0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",1,244
245,Военное,orci mauris,13,0,Nulla mollis molestie lorem. Quisque ut erat.,0,245
246,Гражданское,neque vestibulum eget,30,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,246
247,Военное,eu felis fusce,13,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,247
248,Гражданское,gravida sem,35,1,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",0,248
249,Гражданское,aliquet at,37,1,Integer non velit.,1,249
250,Гражданское,condimentum neque,21,1,In sagittis dui vel nisl. Duis ac nibh.,0,250
251,Гражданское,sem,20,1,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,251
252,Гражданское,ut tellus nulla,43,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",0,252
253,Военное,ante nulla justo aliquam,17,1,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,1,253
254,Военное,porttitor,37,1,Pellentesque viverra pede ac diam.,1,254
255,Гражданское,in,8,0,Curabitur gravida nisi at nibh.,1,255
256,Военное,vulputate elementum,45,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1,256
257,Военное,fusce consequat nulla nisl,21,0,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0,257
258,Военное,convallis,2,1,In eleifend quam a odio. In hac habitasse platea dictumst.,0,258
259,Военное,sit,23,0,Ut tellus. Nulla ut erat id mauris vulputate elementum.,0,259
260,Гражданское,dolor quis odio,34,1,Integer a nibh.,1,260
261,Гражданское,in,50,1,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,1,261
262,Гражданское,pellentesque,21,1,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",0,262
263,Военное,aliquam sit amet diam,3,0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1,263
264,Военное,pulvinar nulla pede,39,0,Morbi porttitor lorem id ligula.,1,264
265,Военное,sapien placerat ante nulla,47,0,Integer a nibh.,1,265
