id,Производитель,Загруженность,Состояние,Тип,Номер модели,id_Hangar
135,ОАК,68,Удовлетворительное,Пассажирский,551-78-9757,135
136,Boeing,83,Идеальное,Пассажирский,224-26-4158,136
137,Kawasaki,9,Идеальное,Грузовой,695-69-0188,137
138,Airbus,5,Ну такое,Пассажирский,551-90-5174,138
139,ОАК,34,Неудовлетворительное,Пассажирский,213-62-0566,139
140,Airbus,82,Хорошее,Грузовой,132-77-2226,140
141,Туполев,2,Неудовлетворительное,Пассажирский,818-53-0062,141
142,Lockheed,68,Хорошее,Пассажирский,423-03-5759,142
143,Туполев,21,Хорошее,Пассажирский,590-21-3676,143
144,Boeing,37,Идеальное,Грузовой,164-55-2461,144
145,Туполев,73,Неудовлетворительное,Грузовой,257-63-4506,145
146,Lockheed,2,Неудовлетворительное,Пассажирский,320-64-7807,146
147,Airbus,59,Неудовлетворительное,Пассажирский,685-22-3793,147
148,Kawasaki,39,Удовлетворительное,Грузовой,230-30-7051,148
149,Lockheed,20,Идеальное,Грузовой,826-25-8817,149
150,Туполев,44,Ну такое,Пассажирский,207-87-9616,150
151,Airbus,3,Неудовлетворительное,Грузовой,810-12-2263,151
152,Lockheed,82,Идеальное,Пассажирский,177-89-7458,152
153,Airbus,53,Неудовлетворительное,Грузовой,198-63-1760,153
154,Lockheed,82,Удовлетворительное,Пассажирский,812-76-0126,154
155,Туполев,84,Ну такое,Пассажирский,565-93-1369,155
156,Lockheed,63,Идеальное,Пассажирский,579-84-8198,156
157,Boeing,43,Хорошее,Грузовой,493-39-1688,157
158,Lockheed,88,Неудовлетворительное,Грузовой,460-15-0309,158
159,Airbus,60,Хорошее,Пассажирский,266-71-2167,159
160,Boeing,94,Удовлетворительное,Грузовой,580-30-4118,160
161,Boeing,25,Удовлетворительное,Грузовой,515-83-2972,161
162,Boeing,1,Неудовлетворительное,Грузовой,522-27-0786,162
163,Туполев,85,Удовлетворительное,Пассажирский,102-92-9008,163
164,Boeing,3,Идеальное,Пассажирский,239-91-2131,164
165,Туполев,27,Ну такое,Грузовой,661-53-6005,165
166,Kawasaki,20,Удовлетворительное,Грузовой,822-06-3713,166
167,Lockheed,87,Хорошее,Грузовой,543-02-7398,167
168,Airbus,50,Идеальное,Пассажирский,644-21-2526,168
169,Lockheed,74,Ну такое,Пассажирский,854-37-8570,169
170,Lockheed,81,Неудовлетворительное,Грузовой,323-35-3964,170
171,Lockheed,12,Удовлетворительное,Грузовой,433-41-0856,171
172,Boeing,64,Неудовлетворительное,Пассажирский,626-90-3956,172
173,Kawasaki,76,Ну такое,Пассажирский,888-63-8998,173
174,Airbus,80,Неудовлетворительное,Грузовой,541-99-8015,174
175,Boeing,18,Хорошее,Пассажирский,576-62-9256,175
176,Kawasaki,49,Неудовлетворительное,Грузовой,108-72-1147,176
177,Lockheed,42,Удовлетворительное,Грузовой,344-41-7158,177
178,Kawasaki,79,Неудовлетворительное,Грузовой,701-94-6144,178
179,ОАК,4,Ну такое,Пассажирский,102-24-5357,179
180,Kawasaki,73,Идеальное,Пассажирский,514-77-6133,180
181,Boeing,73,Идеальное,Грузовой,436-60-0247,181
182,Boeing,52,Хорошее,Грузовой,424-01-9139,182
183,Kawasaki,9,Неудовлетворительное,Пассажирский,838-07-5994,183
184,Boeing,3,Идеальное,Грузовой,769-36-8390,184
185,ОАК,45,Ну такое,Пассажирский,778-88-2718,185
186,Туполев,40,Идеальное,Грузовой,630-23-2190,186
187,Туполев,57,Неудовлетворительное,Пассажирский,348-79-2237,187
188,Kawasaki,34,Идеальное,Грузовой,425-46-2580,188
189,Kawasaki,100,Неудовлетворительное,Грузовой,765-91-8690,189
190,Lockheed,49,Ну такое,Пассажирский,620-44-5597,190
191,Туполев,29,Ну такое,Грузовой,368-93-4203,191
192,Туполев,96,Неудовлетворительное,Грузовой,503-24-8670,192
193,Airbus,29,Хорошее,Пассажирский,860-84-7680,193
194,Kawasaki,42,Идеальное,Грузовой,288-08-4949,194
195,Boeing,40,Неудовлетворительное,Пассажирский,371-34-5724,195
196,Boeing,86,Удовлетворительное,Грузовой,252-61-1963,196
197,Kawasaki,10,Удовлетворительное,Пассажирский,381-42-4206,197
198,Туполев,28,Идеальное,Пассажирский,895-51-0167,198
199,Airbus,51,Ну такое,Грузовой,621-64-5523,199
200,ОАК,36,Удовлетворительное,Грузовой,761-31-1852,200
201,Туполев,94,Идеальное,Пассажирский,672-10-9200,201
202,Туполев,72,Удовлетворительное,Пассажирский,313-39-5538,202
203,Kawasaki,42,Неудовлетворительное,Грузовой,467-58-8627,203
204,ОАК,42,Хорошее,Грузовой,354-32-7377,204
205,ОАК,65,Неудовлетворительное,Пассажирский,374-66-2550,205
206,Lockheed,49,Удовлетворительное,Грузовой,521-62-0950,206
207,ОАК,96,Идеальное,Грузовой,305-84-4417,207
208,Boeing,100,Неудовлетворительное,Пассажирский,755-49-1834,208
209,Boeing,40,Удовлетворительное,Грузовой,307-20-5791,209
210,ОАК,50,Ну такое,Грузовой,311-07-1107,210
211,Lockheed,1,Ну такое,Пассажирский,715-45-8939,211
212,Kawasaki,82,Неудовлетворительное,Пассажирский,405-09-9511,212
213,Boeing,45,Идеальное,Грузовой,360-02-9804,213
214,Туполев,70,Идеальное,Пассажирский,290-08-6074,214
215,Airbus,94,Идеальное,Грузовой,138-40-5277,215
216,Туполев,7,Идеальное,Грузовой,529-01-2226,216
217,Boeing,69,Ну такое,Пассажирский,836-97-6825,217
218,Airbus,76,Ну такое,Пассажирский,623-85-8600,218
219,Lockheed,39,Удовлетворительное,Грузовой,828-80-9932,219
220,Kawasaki,39,Идеальное,Пассажирский,199-63-1182,220
221,Boeing,74,Удовлетворительное,Грузовой,330-70-4354,221
222,Туполев,56,Удовлетворительное,Грузовой,163-78-0961,222
223,Kawasaki,20,Идеальное,Грузовой,669-67-6517,223
224,Airbus,91,Хорошее,Грузовой,405-99-9636,224
225,ОАК,4,Неудовлетворительное,Пассажирский,399-60-3682,225
226,Lockheed,99,Неудовлетворительное,Пассажирский,856-38-9590,226
227,Boeing,54,Ну такое,Грузовой,631-92-8597,227
228,Kawasaki,5,Хорошее,Пассажирский,124-87-4102,228
229,ОАК,60,Идеальное,Пассажирский,544-78-0282,229
230,Airbus,57,Неудовлетворительное,Грузовой,290-84-5402,230
231,Kawasaki,63,Неудовлетворительное,Грузовой,866-60-6641,231
232,Туполев,22,Идеальное,Грузовой,551-75-3026,232
233,Lockheed,91,Хорошее,Грузовой,134-32-5054,233
234,Airbus,79,Ну такое,Грузовой,235-79-5345,234
235,ОАК,53,Идеальное,Грузовой,893-40-4753,235
236,Airbus,47,Идеальное,Грузовой,242-55-7169,236
237,Boeing,71,Удовлетворительное,Пассажирский,594-15-5257,237
238,Boeing,100,Хорошее,Грузовой,188-15-2341,238
239,Туполев,3,Удовлетворительное,Грузовой,708-82-3014,239
240,Airbus,53,Удовлетворительное,Пассажирский,851-79-8329,240
241,Airbus,35,Ну такое,Пассажирский,447-74-6490,241
242,Boeing,5,Ну такое,Грузовой,789-36-5985,242
243,ОАК,40,Ну такое,Пассажирский,674-95-8445,243
244,ОАК,34,Ну такое,Пассажирский,730-64-4378,244
245,Boeing,19,Неудовлетворительное,Грузовой,308-58-8590,245
246,Lockheed,0,Хорошее,Пассажирский,303-38-8387,246
247,Туполев,0,Хорошее,Пассажирский,864-29-1864,247
248,Kawasaki,13,Удовлетворительное,Грузовой,106-37-6986,248
249,Lockheed,48,Неудовлетворительное,Грузовой,832-24-7370,249
250,Kawasaki,80,Хорошее,Грузовой,141-18-1318,250
251,ОАК,23,Удовлетворительное,Пассажирский,110-58-1272,251
252,ОАК,37,Удовлетворительное,Грузовой,852-57-3254,252
253,ОАК,96,Удовлетворительное,Грузовой,415-45-6458,253
254,Туполев,90,Идеальное,Пассажирский,493-67-9496,254
255,ОАК,73,Неудовлетворительное,Пассажирский,710-88-3982,255
256,Kawasaki,98,Хорошее,Пассажирский,350-11-7805,256
257,Airbus,100,Хорошее,Пассажирский,266-25-0431,257
258,Туполев,27,Неудовлетворительное,Грузовой,638-55-5902,258
259,Boeing,60,Хорошее,Пассажирский,548-06-4681,259
260,Boeing,3,Идеальное,Грузовой,505-54-7271,260
261,Туполев,74,Ну такое,Грузовой,622-77-6457,261
262,ОАК,87,Хорошее,Пассажирский,517-99-7229,262
263,Boeing,91,Неудовлетворительное,Пассажирский,200-48-9797,263
264,Туполев,20,Неудовлетворительное,Пассажирский,312-64-9291,264
265,Lockheed,93,Неудовлетворительное,Грузовой,373-10-3536,265
266,Boeing,87,Хорошее,Грузовой,213-46-0782,266
267,Airbus,68,Хорошее,Грузовой,596-86-3935,267
268,ОАК,88,Неудовлетворительное,Грузовой,225-92-7449,268
269,Туполев,68,Идеальное,Пассажирский,305-29-6262,269
270,Lockheed,70,Идеальное,Пассажирский,317-88-8238,270
271,Lockheed,59,Неудовлетворительное,Пассажирский,635-20-8953,271
272,Airbus,32,Неудовлетворительное,Грузовой,645-83-9583,272
273,Boeing,65,Хорошее,Грузовой,413-18-2901,273
274,Lockheed,59,Ну такое,Пассажирский,851-78-7496,274
275,Kawasaki,77,Неудовлетворительное,Грузовой,527-42-9849,275
276,Airbus,47,Ну такое,Пассажирский,273-84-7005,276
277,ОАК,29,Неудовлетворительное,Пассажирский,723-67-9987,277
278,Lockheed,94,Хорошее,Пассажирский,260-51-1700,278
279,Boeing,9,Хорошее,Пассажирский,773-23-8112,279
280,Boeing,11,Идеальное,Грузовой,775-76-8057,280
281,ОАК,96,Ну такое,Пассажирский,191-50-1783,281
282,ОАК,58,Неудовлетворительное,Грузовой,437-43-7102,282
283,Airbus,56,Неудовлетворительное,Пассажирский,826-73-0761,283
284,Boeing,39,Ну такое,Грузовой,662-69-7535,284
285,Boeing,6,Удовлетворительное,Пассажирский,709-25-6531,285
286,Lockheed,54,Неудовлетворительное,Пассажирский,355-31-7298,286
287,Airbus,1,Удовлетворительное,Грузовой,679-82-7136,287
288,Boeing,84,Хорошее,Грузовой,843-62-3229,288
289,Airbus,53,Удовлетворительное,Грузовой,334-83-0173,289
290,Lockheed,10,Неудовлетворительное,Пассажирский,519-08-5386,290
291,ОАК,9,Ну такое,Грузовой,387-45-9498,291
292,Boeing,90,Ну такое,Грузовой,842-88-1413,292
293,Boeing,79,Идеальное,Грузовой,493-39-0989,293
294,Lockheed,23,Ну такое,Пассажирский,622-22-4637,294
295,Туполев,20,Хорошее,Грузовой,811-20-9508,295
296,Airbus,28,Удовлетворительное,Грузовой,640-17-7820,296
297,ОАК,67,Хорошее,Пассажирский,614-82-5223,297
298,Boeing,69,Удовлетворительное,Грузовой,302-05-0370,298
299,ОАК,56,Ну такое,Грузовой,803-46-8569,299
300,Lockheed,80,Ну такое,Пассажирский,707-15-1600,300
301,Airbus,60,Неудовлетворительное,Пассажирский,538-57-0531,301
302,Airbus,82,Идеальное,Пассажирский,446-75-9634,302
303,Туполев,30,Ну такое,Грузовой,682-47-7250,303
304,Lockheed,33,Идеальное,Грузовой,822-86-8471,304
305,Lockheed,29,Неудовлетворительное,Грузовой,556-10-8488,305
306,Kawasaki,82,Ну такое,Пассажирский,829-79-2850,306
307,ОАК,60,Ну такое,Грузовой,155-28-5985,307
308,Airbus,95,Удовлетворительное,Грузовой,142-99-4179,308
309,Boeing,64,Хорошее,Грузовой,533-88-4071,309
310,ОАК,89,Идеальное,Пассажирский,195-85-8792,310
311,Kawasaki,11,Ну такое,Грузовой,744-22-8320,311
312,Туполев,20,Удовлетворительное,Пассажирский,122-97-7289,312
313,Lockheed,69,Неудовлетворительное,Грузовой,496-61-4850,313
314,Airbus,61,Хорошее,Пассажирский,838-94-6551,314
315,Kawasaki,35,Идеальное,Пассажирский,434-89-3811,315
316,Boeing,52,Ну такое,Грузовой,346-48-1110,316
317,Kawasaki,43,Неудовлетворительное,Грузовой,623-50-5748,317
318,Boeing,10,Удовлетворительное,Грузовой,775-58-4706,318
319,ОАК,4,Удовлетворительное,Грузовой,424-20-2035,319
320,Lockheed,3,Идеальное,Пассажирский,125-74-7197,320
321,Туполев,94,Неудовлетворительное,Пассажирский,776-17-3504,321
322,ОАК,95,Идеальное,Грузовой,182-80-6651,322
323,Boeing,68,Идеальное,Грузовой,541-67-7641,323
324,Boeing,54,Удовлетворительное,Пассажирский,486-58-8109,324
325,Туполев,52,Идеальное,Пассажирский,327-94-4072,325
326,Kawasaki,94,Неудовлетворительное,Грузовой,423-78-4013,326
327,Туполев,51,Ну такое,Пассажирский,588-08-5189,327
328,Kawasaki,49,Неудовлетворительное,Пассажирский,868-70-5543,328
329,Туполев,76,Удовлетворительное,Пассажирский,723-21-2181,329
330,Boeing,30,Неудовлетворительное,Пассажирский,534-99-2801,330
331,Kawasaki,98,Идеальное,Грузовой,737-36-5659,331
332,Airbus,93,Хорошее,Пассажирский,147-26-9605,332
333,Lockheed,72,Ну такое,Пассажирский,197-13-1148,333
334,Boeing,81,Хорошее,Грузовой,119-66-8714,334
335,Boeing,11,Хорошее,Грузовой,885-42-4663,335
336,Туполев,22,Неудовлетворительное,Пассажирский,114-89-9982,336
337,Boeing,78,Хорошее,Грузовой,594-02-7301,337
338,Kawasaki,0,Удовлетворительное,Пассажирский,400-70-6100,338
339,ОАК,7,Удовлетворительное,Грузовой,883-91-3062,339
340,ОАК,33,Хорошее,Грузовой,884-88-6552,340
341,Lockheed,99,Хорошее,Грузовой,258-93-7419,341
342,Airbus,35,Ну такое,Пассажирский,865-77-5852,342
343,Kawasaki,80,Хорошее,Пассажирский,460-49-5684,343
344,ОАК,65,Удовлетворительное,Пассажирский,501-56-7751,344
345,Airbus,2,Идеальное,Грузовой,239-36-6553,345
346,Boeing,27,Неудовлетворительное,Грузовой,727-57-5556,346
347,ОАК,80,Идеальное,Пассажирский,395-95-3772,347
348,Airbus,81,Ну такое,Грузовой,571-91-4609,348
349,Lockheed,62,Хорошее,Грузовой,761-52-5711,349
350,Boeing,64,Удовлетворительное,Пассажирский,619-74-7327,350
351,Туполев,27,Ну такое,Пассажирский,200-59-1854,351
352,Airbus,4,Хорошее,Пассажирский,814-80-7804,352
353,ОАК,74,Идеальное,Грузовой,552-29-8526,353
354,Kawasaki,37,Идеальное,Пассажирский,140-23-9563,354
355,Airbus,86,Удовлетворительное,Пассажирский,232-21-1132,355
356,Boeing,40,Хорошее,Грузовой,606-03-9089,356
357,Туполев,71,Хорошее,Грузовой,216-21-6394,357
358,ОАК,52,Идеальное,Пассажирский,356-60-9516,358
359,ОАК,21,Ну такое,Грузовой,255-56-8463,359
360,Туполев,94,Ну такое,Пассажирский,687-78-1202,360
361,Lockheed,24,Удовлетворительное,Пассажирский,874-08-7109,361
362,ОАК,67,Неудовлетворительное,Грузовой,833-89-4761,362
363,Kawasaki,4,Неудовлетворительное,Грузовой,477-89-3172,363
364,Airbus,16,Хорошее,Грузовой,778-87-9088,364
365,Kawasaki,82,Идеальное,Пассажирский,543-20-8262,365
366,Airbus,94,Удовлетворительное,Пассажирский,429-31-8419,366
367,Lockheed,61,Неудовлетворительное,Пассажирский,708-84-9563,367
368,ОАК,30,Хорошее,Грузовой,278-21-5815,368
369,Boeing,72,Удовлетворительное,Грузовой,643-11-8819,369
370,Туполев,5,Идеальное,Грузовой,582-11-8004,370
371,Lockheed,20,Ну такое,Грузовой,303-91-5730,371
372,Kawasaki,24,Идеальное,Пассажирский,858-44-1018,372
373,Kawasaki,88,Ну такое,Пассажирский,628-10-8346,373
374,Kawasaki,42,Неудовлетворительное,Пассажирский,627-61-4499,374
375,Kawasaki,87,Идеальное,Грузовой,654-02-4468,375
376,Airbus,68,Удовлетворительное,Грузовой,520-30-6924,376
377,Туполев,14,Неудовлетворительное,Грузовой,155-42-2551,377
378,Lockheed,57,Хорошее,Грузовой,116-69-2567,378
379,Kawasaki,8,Идеальное,Пассажирский,505-78-8705,379
380,Lockheed,63,Удовлетворительное,Пассажирский,284-89-8048,380
381,Lockheed,28,Неудовлетворительное,Грузовой,300-69-1759,381
382,Airbus,90,Хорошее,Грузовой,586-43-2296,382
383,Туполев,75,Идеальное,Грузовой,278-32-9066,383
384,Туполев,96,Идеальное,Пассажирский,291-78-7656,384
385,Airbus,43,Удовлетворительное,Грузовой,174-38-7900,385
386,Lockheed,78,Ну такое,Грузовой,536-77-5462,386
387,Lockheed,34,Идеальное,Пассажирский,369-44-3691,387
388,Туполев,93,Хорошее,Пассажирский,668-91-2586,388
389,ОАК,40,Неудовлетворительное,Грузовой,220-86-2602,389
390,ОАК,29,Ну такое,Грузовой,680-60-2721,390
391,Туполев,4,Идеальное,Пассажирский,871-62-2502,391
392,ОАК,23,Идеальное,Грузовой,655-65-1444,392
393,Lockheed,83,Неудовлетворительное,Пассажирский,469-73-1095,393
394,Lockheed,11,Ну такое,Пассажирский,327-66-2697,394
395,Airbus,21,Неудовлетворительное,Грузовой,221-36-2710,395
396,Boeing,96,Неудовлетворительное,Пассажирский,196-40-7223,396
397,Lockheed,66,Хорошее,Пассажирский,715-41-3186,397
398,Boeing,7,Неудовлетворительное,Пассажирский,160-03-6477,398
399,ОАК,19,Удовлетворительное,Грузовой,376-82-8023,399
400,ОАК,61,Хорошее,Грузовой,447-34-3588,400
401,Туполев,39,Ну такое,Пассажирский,549-23-5239,401
402,ОАК,12,Удовлетворительное,Грузовой,603-78-2339,402
403,Туполев,12,Неудовлетворительное,Пассажирский,148-20-9205,403
404,Airbus,33,Неудовлетворительное,Пассажирский,382-76-6856,404
405,Boeing,87,Хорошее,Грузовой,356-61-6608,405
406,Boeing,64,Ну такое,Пассажирский,628-04-4240,406
407,Boeing,53,Ну такое,Грузовой,360-80-4189,407
408,Boeing,31,Удовлетворительное,Грузовой,285-80-1720,408
409,Lockheed,36,Неудовлетворительное,Грузовой,353-23-7583,409
410,Kawasaki,59,Удовлетворительное,Пассажирский,206-81-1060,410
411,Lockheed,57,Удовлетворительное,Грузовой,621-53-8309,411
412,Boeing,5,Удовлетворительное,Грузовой,263-99-7789,412
413,Туполев,86,Неудовлетворительное,Грузовой,626-66-4563,413
414,Kawasaki,74,Неудовлетворительное,Пассажирский,653-34-7385,414
415,Airbus,44,Удовлетворительное,Грузовой,566-26-5588,415
416,Туполев,93,Ну такое,Грузовой,189-76-4190,416
417,Kawasaki,17,Идеальное,Грузовой,485-37-9216,417
418,Boeing,56,Ну такое,Грузовой,674-90-3428,418
419,Туполев,34,Ну такое,Пассажирский,610-88-6487,419
420,Kawasaki,41,Идеальное,Пассажирский,357-23-9519,420
421,ОАК,37,Хорошее,Грузовой,265-46-9809,421
422,Туполев,76,Идеальное,Грузовой,317-08-4944,422
423,Туполев,34,Хорошее,Грузовой,828-09-6779,423
424,Airbus,28,Ну такое,Пассажирский,306-26-8342,424
425,Туполев,70,Ну такое,Пассажирский,614-80-6582,425
426,Kawasaki,64,Ну такое,Пассажирский,237-45-8447,426
427,Airbus,79,Неудовлетворительное,Грузовой,848-88-4636,427
428,Kawasaki,17,Неудовлетворительное,Пассажирский,588-01-6984,428
